Timestamp,AC-5-33_MAD-O (%),AC-5-33_HUM-O (%),AC-5-33_MA-T (°F),AC-5-33_SF-O (%),AC-5-33_PH1-O (%),AC-5-33_PH2-O (%),AC-5-33_PH1-T (°F),AC-5-33_PH2-T (°F),AC-5-33_AVG-PHT (°F),AC-5-33_CC-T (°F),AC-5-33_CLG-O (%),AC-5-33_RH1-O (%),AC-5-33_RH2 -O (%),AC-5-33_DA-T-N (°F),AC-5-33_DA-T-S (°F),AC-5-33_DA-T (°F),AC-5-33_RA-T-N (°F),AC-5-33_RA-T-S (°F),AC-5-33_RA-T (°F),AC-5-33_RA-H (%RH),AC-5-33_RF-O (%),AC-5-33_OA-T (°F),AC-5-33_RA-P (in/wc),AC-5-33_DA1-P (in/wc)
25-Aug-26 12:00:00 AM EDT,0.00,0.00,72.70,82.40,0.00,0.00,75.20,75.20,75.20,47.70,38.50,38.10,25.00,63.90,53.40,49.70,71.90,72.10,73.20,43.30,81.90,75.00,0.02,1.00
25-Aug-26 1:00:00 AM EDT,0.00,0.00,72.30,81.90,0.00,0.00,74.70,74.80,74.74,47.80,43.40,35.70,24.90,65.20,53.80,49.80,72.10,72.10,73.40,43.20,81.80,74.40,0.02,1.00
25-Aug-26 2:00:00 AM EDT,0.00,0.00,72.20,81.90,0.00,0.00,74.50,74.70,74.58,47.90,37.30,38.70,29.40,65.00,57.20,49.90,72.00,72.10,73.30,43.20,81.80,0.00,0.02,1.00
25-Aug-26 3:00:00 AM EDT,0.00,0.00,71.80,81.80,0.00,0.00,74.10,74.30,74.19,47.80,46.40,38.10,30.90,65.40,58.80,49.90,72.00,72.10,73.40,43.10,82.00,73.30,0.01,1.00
25-Aug-26 4:00:00 AM EDT,0.00,0.00,71.30,81.40,0.00,0.00,73.50,73.80,73.64,48.10,48.10,37.80,36.20,65.60,56.30,50.20,72.00,71.90,73.30,43.30,81.70,72.40,0.02,1.00
25-Aug-26 5:00:00 AM EDT,0.00,0.00,71.00,81.50,0.00,0.00,73.10,73.40,73.28,48.00,38.60,37.40,18.70,65.40,61.60,50.00,72.10,72.40,73.50,43.10,81.50,70.60,0.02,1.00
25-Aug-26 6:00:00 AM EDT,0.00,0.00,70.50,81.50,0.00,0.00,72.60,73.00,72.81,47.90,36.70,38.50,26.30,62.50,57.90,49.80,71.80,72.20,73.20,43.20,81.40,70.20,0.02,1.00
25-Aug-26 7:00:00 AM EDT,0.00,0.00,70.30,79.60,0.00,0.00,72.50,72.90,72.67,48.00,47.10,37.30,38.30,66.50,57.00,50.00,72.00,71.90,73.30,43.30,80.50,0.00,0.02,1.00
25-Aug-26 8:00:00 AM EDT,0.00,0.00,70.20,81.30,0.00,0.00,72.30,72.70,72.53,48.20,36.10,39.30,33.30,67.60,59.10,50.30,72.00,72.00,73.30,43.50,81.30,69.90,0.02,1.00
25-Aug-26 9:00:00 AM EDT,0.00,0.00,70.20,81.60,0.00,0.00,72.40,72.80,72.58,48.10,48.20,39.60,28.40,66.80,57.90,50.10,71.90,72.10,73.20,43.70,81.40,70.20,0.02,1.00
25-Aug-26 10:00:00 AM EDT,0.00,0.00,70.80,81.70,0.00,0.00,72.90,73.20,73.04,48.20,52.50,38.90,19.60,65.30,54.00,50.00,71.90,72.20,73.30,44.00,81.60,70.40,0.02,1.00
