Timestamp,FCU-5-303/FAN-S,FCU-5-303/FAN-O (%),FCU-5-303/CLG-O (%),FCU-5-303/HTG-O (%),FCU-5-303/DA-T (°F),FCU-5-303/ZN-T (°F),FCU-5-303/EFFCLG-SP (°F),FCU-5-303/EFFHTG-SP (°F)
25-Aug-26 12:00:00 AM EDT,0.00,31.10,13.60,0.00,73.00,72.00,72.00,68.00
25-Aug-26 1:00:00 AM EDT,0.00,26.50,7.10,0.00,72.80,71.90,72.00,68.00
25-Aug-26 2:00:00 AM EDT,0.00,20.00,0.00,0.00,72.60,71.90,72.00,68.00
25-Aug-26 3:00:00 AM EDT,0.00,20.00,0.00,0.00,72.40,71.70,72.00,68.00
25-Aug-26 4:00:00 AM EDT,0.00,20.00,0.00,0.00,72.20,71.50,72.00,68.00
25-Aug-26 5:00:00 AM EDT,0.00,20.00,0.00,0.00,72.00,71.30,72.00,68.00
25-Aug-26 6:00:00 AM EDT,0.00,20.00,0.00,0.00,71.80,71.10,72.00,68.00
25-Aug-26 7:00:00 AM EDT,0.00,20.00,0.00,0.00,72.70,71.30,72.00,68.00
25-Aug-26 8:00:00 AM EDT,0.00,81.40,93.30,0.00,55.20,72.90,72.00,68.00
25-Aug-26 9:00:00 AM EDT,0.00,100.00,100.00,0.00,55.80,74.20,72.00,68.00
25-Aug-26 10:00:00 AM EDT,0.00,100.00,100.00,0.00,56.20,75.90,72.00,68.00
25-Aug-26 11:00:00 AM EDT,0.00,100.00,100.00,0.00,56.60,76.60,72.00,68.00
25-Aug-26 12:00:00 PM EDT,0.00,100.00,100.00,0.00,55.10,75.20,72.00,68.00
25-Aug-26 1:00:00 PM EDT,0.00,100.00,100.00,0.00,54.40,73.90,72.00,68.00
25-Aug-26 2:00:00 PM EDT,0.00,100.00,100.00,0.00,54.40,73.00,72.00,68.00
25-Aug-26 3:00:00 PM EDT,0.00,100.00,100.00,0.00,54.40,72.20,72.00,68.00
25-Aug-26 4:00:00 PM EDT,0.00,76.70,64.40,0.00,55.20,71.60,72.00,68.00
25-Aug-26 5:00:00 PM EDT,0.00,34.10,12.30,0.00,65.80,71.50,72.00,68.00
25-Aug-26 6:00:00 PM EDT,0.00,31.10,16.10,0.00,73.30,72.00,72.00,68.00
25-Aug-26 7:00:00 PM EDT,0.00,42.30,25.50,0.00,63.60,72.00,72.00,68.00
25-Aug-26 8:00:00 PM EDT,0.00,38.50,22.80,0.00,66.70,72.00,72.00,68.00
25-Aug-26 9:00:00 PM EDT,0.00,36.70,20.70,0.00,69.20,72.00,72.00,68.00
25-Aug-26 10:00:00 PM EDT,0.00,34.60,18.30,0.00,73.00,72.00,72.00,68.00
25-Aug-26 11:00:00 PM EDT,0.00,33.20,16.40,0.00,73.30,72.00,72.00,68.00
26-Aug-26 12:00:00 AM EDT,0.00,28.40,9.70,0.00,73.20,71.90,72.00,68.00
26-Aug-26 1:00:00 AM EDT,0.00,20.00,0.00,0.00,73.10,71.90,72.00,68.00
26-Aug-26 2:00:00 AM EDT,0.00,20.00,0.00,0.00,72.90,71.80,72.00,68.00
26-Aug-26 3:00:00 AM EDT,0.00,20.00,0.00,0.00,72.70,71.60,72.00,68.00
26-Aug-26 4:00:00 AM EDT,0.00,20.00,0.00,0.00,72.50,71.40,72.00,68.00
26-Aug-26 5:00:00 AM EDT,0.00,20.00,0.00,0.00,72.30,71.20,72.00,68.00
26-Aug-26 6:00:00 AM EDT,0.00,20.00,0.00,0.00,72.10,71.00,72.00,68.00
26-Aug-26 7:00:00 AM EDT,0.00,20.00,0.00,0.00,72.70,71.10,72.00,68.00
26-Aug-26 8:00:00 AM EDT,0.00,44.30,44.50,0.00,70.30,72.50,72.00,68.00
26-Aug-26 9:00:00 AM EDT,0.00,100.00,100.00,0.00,55.80,73.60,72.00,68.00
26-Aug-26 10:00:00 AM EDT,0.00,100.00,100.00,0.00,56.60,74.40,72.00,68.00
26-Aug-26 11:00:00 AM EDT,0.00,100.00,100.00,0.00,57.20,74.80,72.00,68.00
26-Aug-26 12:00:00 PM EDT,0.00,100.00,100.00,0.00,55.50,74.50,72.00,68.00
26-Aug-26 1:00:00 PM EDT,0.00,100.00,100.00,0.00,54.70,73.50,72.00,68.00
26-Aug-26 2:00:00 PM EDT,0.00,100.00,100.00,0.00,55.20,72.80,72.00,68.00
26-Aug-26 3:00:00 PM EDT,0.00,100.00,100.00,0.00,55.40,72.60,72.00,68.00
26-Aug-26 4:00:00 PM EDT,0.00,100.00,100.00,0.00,55.10,72.60,72.00,68.00
26-Aug-26 5:00:00 PM EDT,0.00,91.10,82.50,0.00,53.90,71.80,72.00,68.00
26-Aug-26 6:00:00 PM EDT,0.00,20.00,0.00,0.00,66.80,71.00,72.00,68.00
