Timestamp,AC-5-31_MAD-O (%),AC-5-31_HUM-O (%),AC-5-31_MA-T (°F),AC-5-31_SF-O (%),AC-5-31_PH1-O (%),AC-5-31_PH2-O (%),AC-5-31_PH1-T (°F),AC-5-31_PH2-T (°F),AC-5-31_AVG-PHT (°F),AC-5-31_CLG-O (%),AC-5-31_CC-T (°F),AC-5-31_RH1-O (%),AC-5-31_RH2 -O (%),AC-5-31_DA-T-N (°F),AC-5-31_DA-T-S (°F),AC-5-31_DA-T (°F),AC-5-31_RA-T-N (°F),AC-5-31_RA-T-S (°F),AC-5-31_RA-T (°F),AC-5-31_RA-H (%RH),AC-5-31_RF-O (%),AC-5-31_OA-T (°F),AC-5-31_RA-P (in/wc),AC-5-31_DA1-P (in/wc)
25-Aug-26 12:00:00 AM EDT,0.00,0.00,73.00,100.00,0.00,0.00,79.70,78.70,79.24,25.60,55.30,0.00,0.00,64.10,58.40,56.00,70.80,72.90,72.90,51.10,100.00,75.80,0.02,0.34
25-Aug-26 1:00:00 AM EDT,0.00,0.00,72.90,100.00,0.00,0.00,79.60,78.60,79.12,27.30,55.30,0.00,0.00,64.10,58.40,55.90,70.70,73.00,72.90,51.30,100.00,74.90,0.01,0.34
25-Aug-26 2:00:00 AM EDT,0.00,0.00,72.80,100.00,0.00,0.00,79.50,78.50,79.00,31.00,55.40,0.00,0.00,64.40,58.60,56.00,70.60,72.80,72.80,51.50,100.00,74.30,0.01,0.34
25-Aug-26 3:00:00 AM EDT,0.00,0.00,72.70,100.00,0.00,0.00,79.40,78.40,78.92,28.00,55.30,0.00,0.00,64.60,58.60,55.90,70.60,72.80,72.80,51.20,100.00,73.80,0.01,0.35
25-Aug-26 4:00:00 AM EDT,25.00,0.00,72.60,100.00,0.00,0.00,79.30,78.30,78.80,27.80,55.40,0.00,0.00,64.70,58.70,56.00,70.60,72.70,72.70,50.90,100.00,73.20,0.02,0.35
25-Aug-26 5:00:00 AM EDT,100.00,0.00,72.40,100.00,0.00,0.00,79.80,81.50,80.68,29.80,55.50,0.00,0.00,65.10,58.80,56.10,70.60,72.40,72.70,50.80,100.00,72.30,0.01,0.35
25-Aug-26 6:00:00 AM EDT,100.00,0.00,72.40,100.00,0.00,0.00,79.90,83.00,81.45,27.30,55.30,0.00,0.00,65.00,58.70,55.90,70.60,72.30,72.60,50.90,100.00,72.10,0.02,0.34
25-Aug-26 7:00:00 AM EDT,100.00,0.00,72.20,100.00,0.00,0.00,79.80,83.20,81.49,25.80,55.50,0.00,0.00,65.40,59.00,56.10,70.60,72.30,72.60,51.00,100.00,71.60,0.02,0.35
25-Aug-26 8:00:00 AM EDT,50.00,0.00,72.20,100.00,0.00,0.00,79.80,83.20,81.49,26.10,55.90,0.00,0.00,65.50,59.20,56.50,70.50,72.30,72.50,51.30,100.00,71.50,0.02,0.35
25-Aug-26 9:00:00 AM EDT,0.00,0.00,73.10,100.00,0.00,0.00,79.80,78.90,79.38,27.80,55.50,0.00,0.00,65.10,59.10,56.10,70.60,72.90,72.80,51.50,100.00,78.40,0.02,0.34
25-Aug-26 10:00:00 AM EDT,0.00,0.00,73.30,100.00,0.00,0.00,79.90,79.00,79.46,36.40,55.30,0.00,0.00,64.50,58.40,56.00,70.70,73.30,73.00,52.00,100.00,75.30,0.01,0.35
25-Aug-26 11:00:00 AM EDT,0.00,0.00,73.40,100.00,0.00,0.00,80.00,79.10,79.55,30.10,55.50,0.00,0.00,64.60,58.50,56.20,70.90,73.60,73.20,52.40,100.00,74.10,0.01,0.34
25-Aug-26 12:00:00 PM EDT,0.00,0.00,73.50,100.00,0.00,0.00,80.20,79.20,79.70,36.70,55.50,0.00,0.00,64.60,58.50,56.10,71.00,74.30,73.40,52.70,100.00,74.50,0.01,0.34
25-Aug-26 1:00:00 PM EDT,0.00,0.00,73.60,100.00,0.00,0.00,80.20,79.30,79.75,28.70,55.50,0.00,0.00,64.40,58.30,56.00,70.90,74.30,73.40,52.60,100.00,75.60,0.01,0.34
25-Aug-26 2:00:00 PM EDT,0.00,0.00,73.70,100.00,0.00,0.00,80.40,79.40,79.89,33.70,55.50,0.00,0.00,64.40,58.40,56.20,71.00,74.20,73.40,52.60,100.00,77.30,0.01,0.34
25-Aug-26 3:00:00 PM EDT,0.00,0.00,73.80,100.00,0.00,0.00,80.40,79.50,79.97,31.20,55.20,0.00,0.00,64.00,58.00,55.80,71.10,74.20,73.50,52.50,100.00,78.50,0.01,0.34
25-Aug-26 4:00:00 PM EDT,0.00,0.00,73.80,100.00,0.00,0.00,80.40,79.40,79.92,29.70,55.40,0.00,0.00,64.10,58.30,56.00,71.20,73.90,73.50,52.30,100.00,78.00,0.01,0.35
25-Aug-26 5:00:00 PM EDT,0.00,0.00,73.90,100.00,0.00,0.00,80.50,79.50,80.01,29.20,55.50,0.00,0.00,64.20,58.40,56.10,71.60,73.80,73.70,52.20,100.00,78.60,0.02,0.34
25-Aug-26 6:00:00 PM EDT,0.00,0.00,74.20,100.00,0.00,0.00,80.80,79.80,80.29,28.80,55.20,0.00,0.00,64.00,58.10,55.80,72.00,74.00,74.10,51.70,100.00,79.30,0.01,0.34
25-Aug-26 7:00:00 PM EDT,0.00,0.00,74.20,100.00,0.00,0.00,80.80,79.80,80.26,29.50,54.50,0.00,0.00,62.60,56.80,55.10,71.90,73.80,74.00,50.80,100.00,79.30,0.01,0.34
25-Aug-26 8:00:00 PM EDT,0.00,0.00,74.00,100.00,0.00,0.00,80.50,79.60,80.06,26.50,55.00,0.00,0.00,63.70,57.80,55.60,71.80,73.50,73.80,51.20,100.00,79.10,0.01,0.34
25-Aug-26 9:00:00 PM EDT,0.00,0.00,73.70,100.00,0.00,0.00,80.40,79.40,79.89,27.60,55.30,0.00,0.00,64.00,58.20,55.90,71.60,73.40,73.70,51.50,100.00,78.30,0.02,0.34
25-Aug-26 10:00:00 PM EDT,0.00,0.00,73.40,100.00,0.00,0.00,80.10,79.10,79.60,31.80,55.50,0.00,0.00,64.10,58.40,56.10,71.30,73.10,73.40,51.80,100.00,77.50,0.01,0.35
25-Aug-26 11:00:00 PM EDT,0.00,0.00,73.20,100.00,0.00,0.00,79.90,78.90,79.42,30.90,55.20,0.00,0.00,63.70,58.10,55.80,71.00,73.00,73.10,52.10,100.00,76.90,0.02,0.34
26-Aug-26 12:00:00 AM EDT,0.00,0.00,73.10,100.00,0.00,0.00,79.70,78.80,79.26,26.50,55.30,0.00,0.00,63.80,58.30,55.90,70.80,72.90,72.90,52.30,100.00,76.70,0.02,0.34
