Timestamp,AC-5-32_MAD-O (%),AC-5-32_HUM-O (%),AC-5-32_MA-T (°F),AC-5-32_SF-C,AC-5-32_PH1-O (%),AC-5-32_PH2-O (%),AC-5-32_PH1-T (°F),AC-5-32_PH2-T (°F),AC-5-32_AVG-PHT (°F),AC-5-32_CC-T (°F),AC-5-32_CLG-O (%),AC-5-32_RH1-O (%),AC-5-32_RH2-O (%),AC-5-32_RH-DA-T-N (°F),AC-5-32_RH-DA-T-S (°F),AC-5-32_RA-T-N (°F),AC-5-32_RA-T-S (°F),AC-5-32_RA-T (°F),AC-5-32_RA-H (%RH),AC-5-32_RF-C,AC-5-32/EAD-S,AC-5-32_RAD-S,AC-5-32_EFF-OA-T (°F)
25-Aug-26 12:00:00 AM EDT,0.00,0.00,74.10,0.00,88.20,88.20,90.50,97.80,94.13,54.60,0.00,67.10,28.40,70.20,68.80,73.10,73.10,75.40,42.70,0.00,0.00,0.00,76.46
25-Aug-26 1:00:00 AM EDT,0.00,0.00,73.60,0.00,93.10,93.10,90.90,96.90,93.87,54.40,0.00,67.50,29.60,69.80,68.40,72.90,72.90,75.30,42.90,0.00,0.00,0.00,75.60
25-Aug-26 2:00:00 AM EDT,0.00,0.00,73.50,0.00,100.00,100.00,92.00,97.10,94.53,54.50,0.00,72.20,27.90,71.10,69.20,73.00,73.10,75.40,42.70,0.00,0.00,0.00,75.18
25-Aug-26 3:00:00 AM EDT,0.00,0.00,73.30,0.00,100.00,100.00,92.10,96.90,94.47,54.20,0.00,73.40,30.10,71.40,68.40,73.00,72.90,75.30,42.30,0.00,0.00,0.00,74.58
25-Aug-26 4:00:00 AM EDT,0.00,0.00,72.90,0.00,100.00,100.00,91.50,96.40,93.94,53.90,0.00,74.30,30.40,71.70,68.60,73.00,73.00,75.30,42.00,0.00,0.00,0.00,74.14
25-Aug-26 5:00:00 AM EDT,0.00,0.00,72.80,0.00,100.00,100.00,90.90,96.00,93.48,53.60,0.00,74.80,29.40,71.70,68.90,73.00,73.10,75.30,41.90,0.00,0.00,0.00,72.96
25-Aug-26 6:00:00 AM EDT,0.00,0.00,72.40,0.00,100.00,100.00,90.60,95.80,93.18,53.30,0.00,76.00,30.50,72.20,68.50,73.00,73.00,75.30,41.70,0.00,0.00,0.00,72.02
25-Aug-26 7:00:00 AM EDT,0.00,0.00,72.50,0.00,100.00,100.00,90.70,95.90,93.26,53.30,0.00,73.50,28.70,72.30,69.00,73.00,73.10,75.40,41.70,0.00,0.00,0.00,72.33
25-Aug-26 8:00:00 AM EDT,0.00,0.00,72.00,0.00,100.00,100.00,90.00,95.40,92.72,53.40,0.00,69.20,28.40,73.00,68.80,73.10,73.00,75.40,41.80,0.00,0.00,0.00,71.72
25-Aug-26 9:00:00 AM EDT,0.00,0.00,73.40,0.00,100.00,100.00,91.80,96.80,94.31,54.20,0.00,82.80,26.40,74.10,68.30,72.80,73.00,75.20,42.60,0.00,0.00,0.00,76.11
